12:34:11 | INFO    | train_pibe         | experiment:
system            : automatica_n4v2(n=4) on cpu (torch.float64)
true theta        : [0.23502650090327654, 0.10390993219989397, -0.020308528436274564]
basis             : FourierBasis(q=4, H=2, omega=1.25664, horizon=[0, 20], periods=4)
  lambda_min(W)   : 1.0000e+01   (Eq. 3, must be > 0)
  eps_(d,q)       : 0.0000e+00
noise             : TruncatedGaussianNoise(sigma=0.002, bound=0.006)
data              : TrajectoryData(P=64, N=201, n=4, horizon=[0, 20])
  train / val     : 51 / 13
  data fill h_d   : 5.0000e-02
  coll fill h_r   : 2.5000e-02
bank              : cells 2..5, 414222 parameters
12:34:11 | INFO    | train_pibe         | disturbance observability  (sigma = 0.002, N = 201)
  i |       gain |    settled |  signature |     SNR |  eff SNR |
----------------------------------------------------------------------------
  1 |  9.432e-02 |  7.331e-02 |  1.100e-02 |    5.50 |    77.95 |
  2 |  7.288e-02 |  7.551e-02 |  1.133e-02 |    5.66 |    80.29 |
  3 |  3.162e-02 |  1.465e-02 |  1.758e-03 |    0.88 |    12.47 |  <- below the noise floor
  4 |  1.300e-02 |  1.233e-02 |  1.479e-03 |    0.74 |    10.49 |  <- below the noise floor

basis function 4 leaves a trace 0.74x the noise; it is not
recoverable pointwise. Reduce sigma, lower the basis frequency, lengthen the
horizon, or reduce q -- training cannot help.
12:39:22 | INFO    | pibe.training.trainer | cell 5/5: 3000 local iterations then 3000 fine-tuning iterations
12:39:22 | INFO    | pibe.training.trainer |   cell 5 | i=    0 | local  | obj=1.9938e+01 | data=1.1741e+00 | phys=1.8764e+01 | |g|=3.23e+02
12:39:28 | INFO    | pibe.training.trainer |   cell 5 | i=  250 | local  | obj=6.3597e-02 | data=5.5860e-02 | phys=7.7368e-03 | |g|=4.02e+00
12:39:33 | INFO    | pibe.training.trainer |   cell 5 | i=  500 | local  | obj=4.1170e-02 | data=2.5112e-02 | phys=1.6058e-02 | |g|=5.14e+00
12:39:39 | INFO    | pibe.training.trainer |   cell 5 | i=  750 | local  | obj=5.3362e-02 | data=4.8559e-02 | phys=4.8031e-03 | |g|=2.62e+00
12:39:44 | INFO    | pibe.training.trainer |   cell 5 | i= 1000 | local  | obj=5.2638e-02 | data=4.0161e-02 | phys=1.2477e-02 | |g|=2.96e+00
12:39:50 | INFO    | pibe.training.trainer |   cell 5 | i= 1250 | local  | obj=4.4170e-02 | data=4.1288e-02 | phys=2.8828e-03 | |g|=2.10e+00
12:39:55 | INFO    | pibe.training.trainer |   cell 5 | i= 1500 | local  | obj=2.9761e-02 | data=2.1189e-02 | phys=8.5717e-03 | |g|=3.22e+00
12:40:01 | INFO    | pibe.training.trainer |   cell 5 | i= 1750 | local  | obj=4.3543e-02 | data=4.0122e-02 | phys=3.4215e-03 | |g|=2.16e+00
12:40:06 | INFO    | pibe.training.trainer |   cell 5 | i= 2000 | local  | obj=4.1292e-02 | data=3.2359e-02 | phys=8.9329e-03 | |g|=2.39e+00
